listing_id,host_id,occupancy,price,number_of_reviews,rating,accommodates,minimum_nights,bedrooms,bathrooms,beds,host_is_superhost,pro_host,entire_home,instant_bookable
1,988,4,146,41,4.7,5,2,2,1,3,0,0,1,0
2,5,90,100,7,5,6,30,2,2,4,0,1,1,0
3,1008,51,99,20,4.75,5,7,2,1,3,1,1,1,0
4,849,0,69,55,4.05,2,3,1,1,1,0,1,1,0
5,915,10,235,5,5,5,4,3,2,3,0,1,1,0
6,1015,90,250,20,4.65,7,20,2,2,5,0,1,1,0
7,171,56,199,10,4.9,6,15,4,2,6,0,1,1,0
8,796,90,119,25,4.25,4,2,1,1,2,0,1,1,0
9,447,71,275,45,4.65,10,2,4,3,7,0,0,1,0
10,949,90,160,20,4.95,5,10,1,1.5,1,0,1,1,0
11,967,86,321,70,4.85,4,3,2,2,4,1,0,1,1
12,110,0,78,9,4.9,2,7,1,1,1,1,1,1,0
13,443,4,84,153,4.85,4,3,2,1,2,0,1,1,0
14,771,35,70,2,5,3,2,1,1,2,0,0,1,0
15,224,90,139,100,4.75,4,3,2,2,2,1,1,1,0
16,689,1,50,15,5,2,2,1,1,1,0,0,0,0
17,182,66,45,47,4.95,1,180,1,1,1,1,1,0,0
18,317,0,390,3,2,6,7,3,3,0,0,1,1,0
19,231,0,47,108,4.8,2,3,1,1,1,0,1,1,0
20,615,1,90,3,5,2,2,1,1.5,1,0,1,0,0
21,26,1,250,8,5,6,3,3,1.5,4,0,1,1,0
22,447,90,289,30,4.65,6,7,1,1,3,1,1,1,0
23,1146,90,149,4,4.5,2,3,1,1,1,1,1,1,0
24,412,82,125,20,4.8,2,7,1,1,1,1,1,1,0
25,957,7,125,11,5,4,90,1,1,3,0,0,1,0
26,644,34,128,41,4.8,3,2,1,1,1,1,1,1,0
27,157,31,75,15,5,2,7,1,1,1,1,1,1,0
28,749,0,239,1,5,6,5,2,2,3,0,1,1,0
29,392,67,385,2,4,6,7,3,3,3,0,0,1,0
30,1062,29,121,92,4.75,4,2,1,1,2,1,0,1,1
31,651,0,85,1,5,4,360,2,2,3,0,0,1,0
32,707,14,99,57,4.9,3,3,1,1,1,1,0,1,0
33,992,3,250,25,4.55,7,16,2,2,5,0,1,1,0
34,347,16,80,141,4.7,2,3,1,1,1,0,1,1,0
35,455,90,27,42,5,1,180,1,1,1,1,1,0,0
36,342,30,55,38,5,2,2,1,1,1,1,1,0,0
37,319,89,347,22,4.7,8,3,2,2,4,1,1,1,0
38,1064,89,229,20,4.45,6,6,1,1,3,1,1,1,0
39,67,18,51,52,4.05,2,28,1,1,1,0,1,1,0
40,376,0,165,9,4.4,4,3,1,1.5,1,0,0,1,1
41,149,28,185,45,4.6,4,3,2,2,2,1,0,1,0
42,181,90,208,19,4.6,6,7,1,1,1,1,1,1,0
43,1106,90,347,29,4.75,8,6,2,2,4,1,1,1,0
44,218,90,550,210,4.85,4,15,2,2,2,0,0,1,0
45,83,40,526,176,4.85,10,3,5,5,6,1,1,1,1
46,412,6,135,13,4.9,2,1,1,1,2,0,0,0,0
47,266,57,360,34,4.8,6,3,3,2,3,1,0,1,0
48,78,19,108,18,4.3,4,5,2,2,3,1,1,1,0
49,75,42,263,5,5,10,4,4,2,5,0,0,1,0
50,992,90,55,99,4.45,2,4,1,1,1,1,1,1,0
51,435,45,114,51,4.5,8,2,2,2,5,0,0,1,0
52,509,0,80,18,4.7,3,7,1,1,2,1,1,1,0
53,641,11,100,122,4.5,4,1,2,2,2,0,1,1,0
54,742,84,82,60,4.5,4,7,2,1,3,0,1,1,0
55,443,0,153,3,5,7,5,2,2,4,0,1,1,0
56,1147,90,48,21,4.45,2,1,1,1,1,0,1,0,0
57,122,0,300,17,4.9,7,7,3,2,4,1,1,1,0
58,800,90,49,14,4.65,2,1,1,1,1,0,1,0,0
59,218,44,126,40,4.8,4,2,1,1,1,1,1,1,0
60,840,90,148,109,4.7,7,1,3,2,3,1,0,1,0
61,151,0,117,77,4.95,2,1,1,1.5,1,1,1,0,0
62,1026,0,117,49,4.85,2,1,1,1.5,1,1,1,0,0
63,317,90,80,69,4.4,4,5,1,1,2,0,1,1,0
64,455,32,73,62,4.2,4,5,1,1,2,0,1,1,0
65,1002,40,54,95,4.3,3,10,1,1,2,0,1,1,1
66,430,45,116,143,4.85,4,3,1,1,3,1,0,1,1
67,999,1,632,33,4.95,6,1,3,1,3,1,1,1,0
68,632,0,150,84,4.9,2,1,1,1,1,1,1,0,0
69,990,0,150,51,4.95,2,1,1,1,1,1,1,0,0
70,141,0,70,118,4.8,2,2,1,1,1,1,1,0,0
71,545,57,150,172,4.85,7,4,2,2,3,1,0,1,0
72,204,24,215,145,4.8,8,2,4,2,6,1,1,1,1
73,794,90,85,2,3,4,29,1,1.5,4,0,0,1,0
74,899,35,90,67,4.75,5,4,2,2,4,0,1,1,0
75,1023,6,125,50,4.7,4,3,2,2,8,0,1,1,0
76,528,1,100,28,4.55,3,30,1,1,2,0,0,1,0
