listing_id,comments
1,"This place was great. Everything it was described to be and beyond; Dave and Sindy's home and accommodations are precisely as described in their ad. There are no surprises.The home is tidy, organized, and spotless and they are very quiet. Our schedules were different and frequently I didn't even know if they were h; David and is wife Sindy were a nice couple. It was a pleasure conversing with them in the morning during breakfast provided by David The house is very nice and clean, and very calm.The bed is very good. You have a WIFI connexion.No problem, It's; Very spacious rental property between 5 minutes drive to the beach or market, downtown. Very nice neighborhood. I am very happy and satisfied with the choice we made in selecting this rental home. We will definitely consider to go back next summer.; Allen describes his place as a quiet oasis and that it was. Beautiful accommodations and spotless. Clean lines in décor. Allen was so thoughtful; enough foodstuff in fridge that we did not have to go out to store until next day; everything you need; Although the place was in a good location,near stores, the place was not what I expected it to be. The owner mentioned in the description that the place was a home/studio. The studio was actually in a motel. Nowhere near the beach. There was water leakin; Beautiful property with lots of outdoor space.Claude was helpful and followed up regarding our stay."
2,"Berta and her husband were very gracious and accommodating. The room was very clean, and quite. Slept comfortably each of the four nights.; Cindy was an impeccable hostess - helpful , very polite and always ready to help.The neighborhood is quiet and the studio is very comfortable , with everything you need to rest at the end of a day of sightseeing .The bed is very comfortable!; Elena was quick and easy to keep in touch with . She had indulgence that our flight was delayed . When we arrived , she showed us around in the nice house and welcomed us . Even left tips, and more about what was in the vicinity to do . Everything was c"
3,"Everything was fine. The apartment was very clean.; Excellent location of the hotel, very clean, I recommend this unit to everyone, who is looking for a good stay, good food and great hospitality.; Excellent my stay at the house of andrea , are the best hosts . I recommend this house."
4,"Exellent stay!!; First impressions are important and when I first entered Maria and Carlos's studio apartment, I was impressed. The unit was fresh and clean. The dining table was set and the Murphy bed was made up nicely with lots of pillows. A welcoming gift was on the; Great house in a very quiet and convenient neighborhood. Very easy to get to the beach and restaurants and Interstate 95 and A1A. Nice set-up with bedrooms on 2 sides of the house for maximum privacy. Didn't use the pool since we spent most of our ti; I, my wife and our daughter spent wonderful week in this house. The house is close to the most important places, but we think that the car was needed. The house met our expectations. The house was clean and pool is very comfortable. Wifi connection was; I’ve spent 4 nights over two visits and found Jim’s Place to be an ideal spot in Ft Lauderdale. Jim’s helpful, friendly, and casual mood inspires the guests to act the same to each other. If that’s your cup of tea, this a great place to meet and; Its walking distance to the beach. Wasn't aware that this airbnb is actually located in a villa hotel. But no biggie; Jim made us feel very welcome. he was there the night we checked in and gave us a layout of the land including a map with restaurants and the way to the beach.The house was clean, and most important, very well air-conditioned. It was cold when we ar"
5,Lovely home on quiet dead end street. Close to 95.Backyard is private and a great spot to relax at the end of the day.Pool would be great to enjoy in the summer months. A bit too cold for us to enjoy this time of year.
6,"Our family of four arrived at a very inconvenient time...about 11:45 on New Years Eve! Nonetheless, Beatriz was still available and communicated wonderfully. We were given a detailed tour of the home by her mother, Gigi, the following afternoon at our; Ralph was a great host. The accommodations were clean and had all the things you need. I would highly recommend this property, great location; Robert was great, he got back with us right away with any questions we had. The place was so clean and neat, just like in the pictures. We would definitely like to stay here again on our next visit to Pompano Beach.; Thank you Chris for everything. We had a great time. Ran from the location to the beach several days. Very close to many attractions. Felt very safe in the neighborhood."
7,"The apartment was as advertised. All facilities in place. Sandy and Ed were very accommodating. The let me stay in the next space for a day, when they couldn't extend the space I was in; The beach cottage was great! Literally steps to the beach. Very clean any totally upgraded in terms of appliances, shower, furnishings, etc. Also, Jaime, his associate, couldn't have been nicer. Provided us with new beach chairs, towels, and umbrella.; the house is really very comfortable with tasteful details and careful attention.I can not wait to return.Shon to have been a great, generous and caring host of details to make our stay is great; The house was very beautiful, everything clean. Everything was secure and we felt safe. The location of the house was great also. It had everything in walking distance. We got to meet jim and erica and they were super friendly! Overall experience ? A+T; The property pix.is spot on and accurately described. It was the right place for me to settle in. It is very secure, private as often I was returning at 1 a.m. I plan on returning to Pokeys.; The property was exactly as presented.; The staff made us feel very welcome and the accommodations exceeded our expectations"
8,"The tropical garden is absolutely beautiful but the studio number 4 is too small for a long stay, the bed and the doors are noisy and the AC is unnormaly noisy. It's like an airplane engine starting all 2 minutes during 60 seconds, and so on all the ni; This was a first time stay at Cabana Carioca """"The Delray."""" We had Unit 2 for 9 nights Feb 8 -Feb 17th. Purpose of our stay was to introduce my 4 month old Grandson to his Great Grandparents who live in Deerfield Beach. Jennifer was able to accommodate o; This was my very first time using Airbnb and Arian's home was the first home on Airbnb that I stayed at for my first vacation to Miami. Let me be honest with you all.. this house is amazing. I stayed for 3 nights from March 30th-April 2nd. I was a little; We had a pie waiting for us. Beautiful place to stay. Thanks; When we arrived we were warmly greeted and the hosts seemed very friendly. The room was very small and clean. The room looks bigger in pictures than in person. I would say it comfortably fits 2 people maximum. The shower and bathroom is very small so it; Would recommend for any traveler; Boy, what a great experience. Lorraine and Greg are the bomb. They are so warm and personable. They are so welcoming it was like being with family. The studio was great. It was apparent that they went out of there way to provide the little ni"
9,"Central location; I enjoyed my vacation in Daniel's home. It was very clean and provided shampoo, soap, detergent, pans, and more. Everything you needed was included. If we needed something, he was quick to respond, and polite. Very good response rate and service. I wo; This was a wonderful house, super-clean, quiet and spacious, comfortably furnished, and nicely situated next to a large park and within easy distance of two nice groceries and a coffee shop. We had a car but enjoyed walking in the large park and out f; Nice place for a nice price!; Our experience with Sarah and Alexander was thoroughly enjoyable and better than expected. About the place perfectly clean, equipped and such a place which as described and shown in the pics. Sarah & Alexander are lovely people with whom we had; There are many places on AIRBNB in Ft. Lauderdale. However, this one is truly ideal. The host (Chris) has a perfect place to visit-it is close to everything-as well as being in a safe neighborhood...the cottage's location is excellent in being so; Harvey, Bill, and Michael are incredible hosts. They were checking frequently to make sure I was happy and if I needed anything. You simply will not find nicer people anywhere. Breakfast each morning included a nice healthy meal and conversations tha"
10,"I never want to leave. The pictures are accurate. I come here just to relax and get away from the cold up north. Great location, easy parking. Raazee is a great host.; My family and I really enjoyed your home, the house was clean and well maintained a really beautiful home, the pictures don't do it justice.The neighbourhood seemed nice and safe only 5-10mins walk to publix,starbucks,duffy's sports bar etc.Its only; The hosts, Jay & Veronica, were wonderful, very hospitable, and made me feel at home during my entire stay. They greeted me upon arrival, gave a tour of the property, provided suggestions of things to do and places to eat, and were willing to help and a; You will absolutely LOVE this place!! It truly is a getaway cabin!!! From the time you walk through the entry gate from your personal parking space into the cabin area you feel at ease! The living space is themed, comfortable, and convenient. The host; A beautiful place with three full bedrooms. Safe and quiet neighborhood. Matt was there when we got there to greet us and came by to check on her needs. A great guy. Would definitely rent this place again.; All of the other comments are spot on. Aaron was a fantastic host and his cottage made for the perfect weekend trip. He went above and beyond to make sure I was comfortable during my stay. The cottage was spotless. I look forward to coming back in the fu; Allen is a most welcoming host. We we're happy with his easy charm, the area and especially, the cottage itself. The location of the accommodation was perfect for us; an easy walk or bus ride to the restaurants and cafe culture of Las Olas, the restauran"
