Cliente,Recencia,Frecuencia,Monto,Sexo,GSE,Edad
1,2,4,9.484,,,
2,1,1,6.745,FEM,,62
3,2,5,19.83,MAS,C3,92
4,1,12,50.096,MAS,C3,88
5,10,1,5.197,MAS,D,92
6,1,9,28.366,MAS,ABC1,91
7,3,2,32.779,FEM,ABC1,87
8,2,7,19.987,MAS,,90
9,1,5,27.981,MAS,ABC1,90
10,2,2,31.249,MAS,C3,91
11,1,5,16.345,FEM,ABC1,98
12,3,1,0.819,FEM,ABC1,90
13,1,8,14.159,MAS,D,91
14,2,7,3.402,FEM,C3,91
15,3,6,19.944,MAS,ABC1,85
16,1,2,74.198,FEM,C3,85
17,1,12,36.522,FEM,C3,96
18,1,8,49.03,MAS,C3,91
19,1,12,57.21,FEM,C3,94
20,1,9,35.959,MAS,D,92
21,1,10,69.365,MAS,ABC1,88
22,1,8,75.561,MAS,C3,86
23,1,7,5.239,FEM,,94
24,6,1,0.749,,,
25,1,12,41.65,FEM,C3,92
26,1,9,20.089,FEM,C3,84
27,1,11,39.639,FEM,C3,88
28,8,2,4.82,,C3,
29,1,12,49.406,MAS,C3,90
30,3,4,3.272,MAS,C3,81
31,1,11,44.745,MAS,C3,89
32,6,6,62.353,MAS,D,89
33,1,12,24.164,MAS,ABC1,86
34,1,12,32.306,MAS,C3,80
35,7,1,8.16,FEM,D,84
36,3,2,8.53,FEM,E,89
37,12,1,15.118,MAS,C3,87
38,1,2,37.178,MAS,ABC1,82
39,1,1,1.845,FEM,D,83
40,1,6,34.796,MAS,D,88
41,1,11,40.916,MAS,ABC1,80
42,6,1,4.351,MAS,C3,83
43,1,11,29.902,FEM,,88
44,1,5,30.631,FEM,C3,82
45,3,2,11.198,MAS,D,81
46,3,6,6.405,MAS,C3,83
47,5,2,11.042,MAS,C2,85
48,4,6,14.93,FEM,,83
49,1,12,36.935,FEM,ABC1,88
50,2,1,21.539,FEM,C3,89
51,8,1,7.023,FEM,C3,86
52,5,1,19.105,FEM,C3,89
53,4,3,4.154,MAS,D,85
54,2,7,21.629,FEM,C3,83
55,1,3,4.927,FEM,E,85
56,1,1,1.672,FEM,,
57,1,10,11.818,FEM,C3,85
58,1,2,8.941,FEM,C3,80
59,11,1,6.35,FEM,D,88
60,1,10,24.996,FEM,D,87
61,4,1,6.043,MAS,C3,81
62,1,9,21.819,MAS,C3,81
63,2,8,30.132,FEM,,87
64,9,1,37.44,MAS,C3,85
65,1,12,41.249,FEM,D,87
66,1,7,18.333,MAS,C3,86
67,2,2,1.615,MAS,C3,84
68,1,10,28.476,FEM,C3,79
69,1,5,5.689,FEM,D,83
70,1,9,22.517,FEM,ABC1,93
71,2,3,2.446,,E,
72,1,10,23.642,MAS,C3,85
73,1,3,13.663,MAS,C3,84
74,1,10,26.556,MAS,C3,89
75,1,10,29.167,MAS,D,88
76,1,2,6.677,MAS,C3,75
77,12,1,6.529,FEM,E,92
78,1,11,36.341,MAS,ABC1,89
79,1,12,95.407,MAS,D,44
80,1,1,5.797,FEM,C3,86
81,1,7,20.691,MAS,ABC1,78
82,2,9,4.486,MAS,E,83
83,1,10,18.86,MAS,,89
84,1,7,50.398,FEM,C3,91
85,9,3,20.187,MAS,D,86
86,9,2,9.504,FEM,D,93
87,7,3,11.593,FEM,C3,83
88,1,9,26.65,FEM,E,84
89,4,6,29.057,FEM,E,83
90,3,1,6.16,FEM,E,84
91,1,2,63.096,MAS,C3,80
92,1,1,14.286,MAS,C3,81
93,3,3,23.676,FEM,E,86
94,3,3,21.713,MAS,ABC1,86
95,5,1,22.187,FEM,E,79
96,2,5,8.47,MAS,C3,83
97,1,2,2.469,MAS,E,84
98,2,9,30.97,FEM,C3,78
99,1,7,28.651,FEM,C3,80
100,2,5,26.627,FEM,C3,85
101,1,2,35.511,MAS,ABC1,75
102,5,2,9.372,MAS,C2,83
103,1,4,7.917,MAS,E,
104,1,12,10.238,MAS,C3,79
105,1,6,11.067,FEM,C3,77
106,7,1,4.605,MAS,C3,81
107,4,5,5.581,MAS,D,81
108,1,8,13.732,FEM,D,84
109,2,1,2.387,MAS,,83
110,1,11,54.101,FEM,D,83
111,1,4,6.647,FEM,C3,87
112,1,12,35.591,FEM,,72
113,3,1,1.205,MAS,D,82
114,1,7,23.902,FEM,ABC1,82
115,1,10,14.271,FEM,C2,82
116,3,4,16.546,MAS,,66
117,4,1,2.345,FEM,,84
118,1,2,7.174,MAS,C3,79
119,8,3,21.294,MAS,C3,82
120,1,5,29.61,FEM,C3,80
121,2,1,27.345,MAS,D,83
122,5,3,14.848,FEM,,82
123,12,1,9.686,MAS,D,78
124,1,9,13.547,MAS,,82
125,1,6,16.458,MAS,D,82
126,1,1,6.724,,,
128,1,1,27.978,FEM,C3,85
129,1,3,26.713,MAS,C3,84
130,1,12,31.522,MAS,ABC1,80
131,5,4,11.996,FEM,E,84
132,1,2,21.097,MAS,C3,83
133,11,1,3.303,FEM,D,87
134,1,11,26.036,FEM,ABC1,78
135,1,12,106.55,FEM,ABC1,80
136,1,12,12.953,FEM,,88
137,4,4,4.615,FEM,C3,84
138,5,4,11.211,MAS,C3,82
139,1,9,3.006,FEM,C3,82
140,1,12,32.797,FEM,D,85
141,3,4,2.923,FEM,ABC1,73
142,5,3,16.474,FEM,E,84
143,1,11,66.57,FEM,C2,84
144,1,4,13.651,FEM,D,76
145,1,5,63.39,MAS,D,79
146,1,12,21.142,MAS,ABC1,78
147,1,11,23.132,MAS,C2,78
148,1,4,25.556,MAS,C3,81
149,9,1,29.951,FEM,C3,81
150,1,11,25.315,FEM,E,85
151,1,12,53.297,MAS,C3,83
152,11,1,15.118,MAS,D,77
153,1,1,2.336,MAS,D,81
154,12,1,17.193,MAS,ABC1,82
155,3,4,4.306,MAS,C3,80
156,11,1,2.681,MAS,C2,84
157,12,1,1.924,,E,
158,6,2,15.081,MAS,C2,75
159,5,2,8.606,MAS,E,80
160,1,5,17.595,FEM,E,86
161,7,1,15.765,FEM,,86
162,6,1,4.739,FEM,D,80
163,4,2,1.425,FEM,C3,79
164,4,4,51.085,MAS,C3,80
165,1,10,12.236,FEM,E,85
166,1,8,12.378,FEM,C3,80
167,1,9,5.807,FEM,C3,79
168,4,5,9.309,FEM,D,80
169,11,1,3.455,FEM,D,79
170,2,5,16.894,MAS,D,76
171,1,5,32.172,MAS,ABC1,76
172,1,2,13.136,FEM,E,80
173,1,12,62.169,MAS,C3,80
174,1,2,41.008,MAS,ABC1,80
175,1,6,5.456,FEM,E,80
176,3,3,3.997,FEM,D,83
177,1,4,74.804,,,
178,9,1,1.707,MAS,D,82
179,1,6,38.856,FEM,,83
180,1,12,71.566,MAS,C3,81
181,1,1,22.985,FEM,,77
182,5,1,8.551,MAS,D,79
184,3,3,8.962,FEM,C3,77
185,3,4,23.915,MAS,D,80
186,1,8,10.562,MAS,D,78
187,1,11,19.755,MAS,D,77
188,1,12,78.832,MAS,D,79
189,7,1,3.429,FEM,D,79
190,2,1,5.874,MAS,C3,77
191,1,12,62.705,FEM,C2,77
192,3,3,6.473,MAS,D,81
193,2,4,7.275,FEM,E,77
194,4,3,3.398,FEM,D,83
195,1,1,60.935,MAS,C3,80
196,1,11,37.212,MAS,C3,81
197,1,10,52.598,FEM,C3,87
198,1,10,42.757,MAS,D,79
199,1,1,51.832,MAS,D,80
200,8,1,16.635,MAS,D,80
201,4,1,11.916,MAS,,81
202,2,2,39.022,MAS,C3,79
203,5,1,9.89,MAS,C3,80
204,6,2,3.118,FEM,D,84
205,1,11,15.634,FEM,C3,77
206,3,1,17.196,MAS,,79
207,1,10,17.341,FEM,C3,80
208,1,8,10.795,MAS,D,77
209,2,6,8.418,FEM,C3,82
210,2,1,4.303,FEM,C2,73
211,1,9,14.547,MAS,D,80
212,9,3,10.998,MAS,C3,72
213,1,8,41.64,FEM,D,82
214,1,7,10.721,FEM,E,77
215,1,12,27.4,FEM,C3,79
216,1,10,24.237,MAS,,96
217,2,8,8.62,MAS,,82
218,3,9,25.439,MAS,D,76
219,3,4,15.58,FEM,D,85
220,1,7,15.329,MAS,C3,81
221,3,7,27.116,FEM,C2,85
222,6,1,8.176,FEM,D,80
223,1,12,73.032,FEM,C3,86
224,1,2,25.888,FEM,C3,83
225,11,1,8.109,MAS,C3,85
226,1,8,13.236,FEM,C3,80
227,1,8,22.911,FEM,E,82
228,5,5,6.7,FEM,,84
229,1,11,41.323,MAS,C3,81
230,1,11,3.571,MAS,ABC1,85
231,2,11,38.444,FEM,D,88
232,1,8,20.092,FEM,D,72
233,8,2,4.011,MAS,D,83
234,9,2,5.298,MAS,C3,84
235,1,10,52.393,FEM,C3,69
236,2,6,7.838,MAS,C3,80
237,2,2,96.28,MAS,,69
238,2,5,6.16,FEM,C3,80
239,1,6,7.233,FEM,E,80
240,1,2,18.343,MAS,C3,75
241,1,10,51.794,MAS,ABC1,77
242,1,2,5.67,FEM,,77
243,1,4,22.84,MAS,C3,75
244,1,3,13.863,FEM,D,83
245,3,1,15.574,MAS,C3,76
246,11,1,8.645,MAS,D,79
247,2,10,14.814,MAS,C3,80
248,8,1,12.607,FEM,C3,78
249,8,2,15.258,FEM,C3,71
250,1,9,29.914,MAS,C3,78
251,1,11,29.168,FEM,ABC1,76
252,4,2,8.92,MAS,E,79
253,1,2,2.32,MAS,D,79
254,1,2,25.308,FEM,,79
255,1,12,7.573,FEM,E,79
256,7,3,15.527,FEM,D,81
257,7,1,10.609,MAS,D,77
258,1,5,11.43,FEM,D,76
259,2,4,12.415,MAS,C3,76
260,8,3,21.692,MAS,D,79
261,1,11,36.159,FEM,C3,78
262,1,4,18.241,MAS,D,76
263,1,12,34.241,FEM,C3,73
264,9,1,2.303,FEM,D,76
265,1,11,6.457,FEM,D,77
266,2,5,5.41,FEM,C3,75
267,10,1,15.455,FEM,C3,76
268,2,4,1.893,FEM,C3,75
269,1,2,12.988,MAS,C3,79
270,1,11,55.193,MAS,ABC1,78
271,1,10,9.134,MAS,D,79
272,1,10,18.308,FEM,,84
273,1,5,6.68,MAS,C3,73
274,2,10,11.103,FEM,D,83
275,1,7,27.522,FEM,C3,81
276,2,2,24.358,FEM,C3,77
277,1,6,40.85,MAS,C2,74
278,1,5,23.447,MAS,C2,76
279,2,6,19.122,FEM,E,83
280,1,1,15.894,MAS,C3,75
281,1,12,52.34,MAS,,75
282,1,5,26.125,FEM,,81
283,2,7,17.203,MAS,ABC1,77
284,1,12,66.049,MAS,ABC1,72
285,1,1,5.059,MAS,C3,78
286,2,7,20.439,MAS,ABC1,80
287,1,11,28.042,FEM,C3,77
288,1,12,36.651,MAS,C3,76
289,1,6,10.836,MAS,E,78
290,1,11,23.858,FEM,ABC1,80
291,1,12,41.561,MAS,C3,77
292,1,3,13.257,MAS,D,78
293,1,9,36.496,MAS,D,75
294,1,12,43.077,FEM,C3,78
295,3,2,14.356,FEM,D,81
296,5,1,12.174,FEM,C3,78
297,1,11,15.303,FEM,D,77
298,5,2,17.499,MAS,ABC1,76
299,1,7,17.268,FEM,C3,84
300,9,1,20.164,FEM,E,76
301,1,5,17.467,MAS,C3,74
302,1,4,3.457,FEM,C3,77
303,1,3,6.541,FEM,D,73
304,1,7,10.72,FEM,D,79
305,1,3,11.478,MAS,C3,76
306,12,1,3.066,FEM,ABC1,79
307,4,4,1.752,FEM,,78
308,1,11,61.059,MAS,ABC1,71
309,1,4,23.887,MAS,C3,78
310,3,3,21.522,FEM,E,80
311,1,8,15.305,MAS,C3,77
312,3,2,16.879,FEM,C3,78
313,7,1,1.832,FEM,E,85
314,12,1,1.244,MAS,C3,76
315,4,2,23.4,MAS,D,75
316,2,2,3.199,MAS,C3,72
317,5,3,10.65,FEM,D,80
318,1,10,12.03,MAS,D,78
319,2,6,15.781,FEM,D,79
320,1,2,13.591,MAS,C3,76
321,1,5,9.161,MAS,C3,76
322,1,8,13.955,FEM,E,80
323,1,6,14.947,MAS,C3,75
324,4,5,10.692,FEM,D,76
325,1,4,11.388,FEM,C3,78
326,4,4,8.286,FEM,ABC1,86
327,5,7,54.137,MAS,C3,72
328,1,3,17.933,MAS,C2,76
329,2,2,9.144,FEM,,79
330,12,1,19.635,MAS,C3,74
331,11,2,12.916,FEM,D,78
332,1,6,6.929,MAS,C3,76
333,2,10,27.266,MAS,C3,76
334,10,1,2.655,FEM,ABC1,81
335,9,2,11.383,MAS,C3,75
336,12,1,2.496,FEM,D,79
337,7,2,9.673,MAS,C3,73
338,1,12,70.795,MAS,E,76
339,1,5,11.982,FEM,C3,77
340,1,9,17.581,FEM,D,77
341,4,5,8.347,MAS,ABC1,77
342,1,10,27.404,FEM,C3,78
343,1,3,13.267,FEM,E,75
344,1,9,17.486,MAS,ABC1,75
345,3,4,13.997,MAS,E,76
